Year,Close,Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
2017,265.30,0.01308,-0.00632,0.02036,-0.00038,-0.00151,9506715.00,0.00680,1
2017,265.40,0.00680,0.01308,-0.00632,0.02036,-0.00038,5957114.00,0.01275,1
2017,260.05,0.01275,0.00680,0.01308,-0.00632,0.02036,20246351.00,-0.00708,0
2017,261.70,-0.00708,0.01275,0.00680,0.01308,-0.00632,16792035.00,-0.01130,0
2017,258.30,-0.01130,-0.00708,0.01275,0.00680,0.01308,7396182.00,-0.00464,0
2017,256.55,-0.00464,-0.01130,-0.00708,0.01275,0.00680,8335504.00,0.01320,1
2017,253.30,0.01320,-0.00464,-0.01130,-0.00708,0.01275,17011726.00,-0.00914,0
2017,255.10,-0.00914,0.01320,-0.00464,-0.01130,-0.00708,9959845.00,0.00000,0
2017,258.00,0.00000,-0.00914,0.01320,-0.00464,-0.01130,9998498.00,-0.01002,0
2017,259.20,-0.01002,0.00000,-0.00914,0.01320,-0.00464,7916268.00,0.00577,1
2017,255.80,0.00577,-0.01002,0.00000,-0.00914,0.01320,16626216.00,0.00872,1
2017,258.15,0.00872,0.00577,-0.01002,0.00000,-0.00914,8609960.00,-0.00408,0
2017,258.15,-0.00408,0.00872,0.00577,-0.01002,0.00000,7524346.00,0.00778,1
2017,260.75,0.00778,-0.00408,0.00872,0.00577,-0.01002,7347756.00,0.00333,1
2017,259.25,0.00333,0.00778,-0.00408,0.00872,0.00577,4836535.00,0.00039,1
2017,257.00,0.00039,0.00333,0.00778,-0.00408,0.00872,17508901.00,0.00491,1
2017,258.05,0.00491,0.00039,0.00333,0.00778,-0.00408,8697821.00,0.00890,1
2017,256.05,0.00890,0.00491,0.00039,0.00333,0.00778,22116235.00,-0.00693,0
2017,255.20,-0.00693,0.00890,0.00491,0.00039,0.00333,6593537.00,-0.03434,0
2017,255.10,-0.03434,-0.00693,0.00890,0.00491,0.00039,6111791.00,-0.01533,0
2017,253.85,-0.01533,-0.03434,-0.00693,0.00890,0.00491,8991412.00,0.01781,1
2017,251.60,0.01781,-0.01533,-0.03434,-0.00693,0.00890,8244499.00,0.00980,1
2017,253.35,0.00980,0.01781,-0.01533,-0.03434,-0.00693,5426456.00,-0.02007,0
2017,262.20,-0.02007,0.00980,0.01781,-0.01533,-0.03434,13132943.00,-0.00132,0
2017,266.25,-0.00132,-0.02007,0.00980,0.01781,-0.01533,17181015.00,0.00531,1
2017,261.55,0.00531,-0.00132,-0.02007,0.00980,0.01781,9243049.00,-0.00398,0
2017,259.00,-0.00398,0.00531,-0.00132,-0.02007,0.00980,8653465.00,0.00360,1
2017,264.25,0.00360,-0.00398,0.00531,-0.00132,-0.02007,8043427.00,0.00095,1
2017,264.60,0.00095,0.00360,-0.00398,0.00531,-0.00132,12269517.00,-0.00019,0
2017,263.20,-0.00019,0.00095,0.00360,-0.00398,0.00531,9293059.00,-0.00398,0
2017,264.25,-0.00398,-0.00019,0.00095,0.00360,-0.00398,5881181.00,0.00760,1
2017,263.30,0.00760,-0.00398,-0.00019,0.00095,0.00360,7441512.00,0.00114,1
2017,263.05,0.00114,0.00760,-0.00398,-0.00019,0.00095,6771408.00,-0.00533,0
2017,263.10,-0.00533,0.00114,0.00760,-0.00398,-0.00019,6405364.00,0.00362,1
2017,264.15,0.00362,-0.00533,0.00114,0.00760,-0.00398,9549857.00,0.00593,1
2017,262.15,0.00593,0.00362,-0.00533,0.00114,0.00760,6091016.00,-0.00153,0
2017,261.85,-0.00153,0.00593,0.00362,-0.00533,0.00114,15889965.00,-0.00153,0
2017,263.25,-0.00153,-0.00153,0.00593,0.00362,-0.00533,6565616.00,-0.00515,0
2018,262.30,-0.00515,-0.00153,-0.00153,0.00593,0.00362,10461011.00,-0.01022,0
2018,260.75,-0.01022,-0.00515,-0.00153,-0.00153,0.00593,5688384.00,-0.01847,0
2018,261.15,-0.01847,-0.01022,-0.00515,-0.00153,-0.00153,11018996.00,0.00426,1
2018,261.55,0.00426,-0.01847,-0.01022,-0.00515,-0.00153,9368913.00,-0.00148,0
2018,262.90,-0.00148,0.00426,-0.01847,-0.01022,-0.00515,9211954.00,0.00837,1
2018,265.60,0.00837,-0.00148,0.00426,-0.01847,-0.01022,14433239.00,-0.00019,0
2018,270.55,-0.00019,0.00837,-0.00148,0.00426,-0.01847,25737663.00,0.02229,1
2018,269.40,0.02229,-0.00019,0.00837,-0.00148,0.00426,16441299.00,-0.01649,0
2018,269.80,-0.01649,0.02229,-0.00019,0.00837,-0.00148,11287437.00,-0.02725,0
2018,267.55,-0.02725,-0.01649,0.02229,-0.00019,0.00837,8179762.00,-0.00420,0
2018,267.60,-0.00420,-0.02725,-0.01649,0.02229,-0.00019,10538330.00,0.00328,1
